,latitude,longitude,amenity
850,51.9816732,4.3421244,
851,51.9810628,4.3562926,
852,51.9867273,4.3570825,
853,51.9839490,4.3577255,
854,51.9810920,4.3413896,
855,51.9835792,4.3528896,
856,51.9813667,4.3448699,
857,51.9807396,4.3474685,
858,51.9833079,4.3611646,
859,51.9842547,4.3518477,
860,51.9804520,4.3605243,
861,51.9818637,4.3463309,
862,51.9812634,4.3574923,
863,51.9783593,4.3431424,
864,51.9806772,4.3593711,
865,51.9796312,4.3387641,
866,51.9808745,4.3633175,
867,51.9812030,4.3476146,
868,51.9869106,4.3557489,
869,51.9845128,4.3578454,
870,51.9843309,4.3506267,
871,51.9816611,4.3601891,
872,51.9818705,4.3448125,
873,51.9806659,4.3593039,
874,51.9834735,4.3374848,
875,51.9778037,4.3450379,
876,51.9843669,4.3636970,
877,51.9808954,4.3424485,
878,51.9810920,4.3413894,
879,51.9835895,4.3529600,
880,51.9813467,4.3449180,
881,51.9806096,4.3474625,
882,51.9842651,4.3519200,
883,51.9804518,4.3605244,
884,51.9817345,4.3463861,
885,51.9812636,4.3574922,
886,51.9783467,4.3430646,
887,51.9806558,4.3592348,
888,51.9795810,4.3387864,
889,51.9808745,4.3633177,
890,51.9812029,4.3476148,
891,51.9868991,4.3556578,
892,51.9845004,4.3577630,
893,51.9843517,4.3507452,
894,51.9816488,4.3601074,
895,51.9818706,4.3448123,
896,51.9806445,4.3591676,
897,51.9834734,4.3374847,
898,51.9778036,4.3450380,
899,51.9843622,4.3636276,
900,51.9808955,4.3424486,
901,51.9810919,4.3413892,
902,51.9835999,4.3530322,
903,51.9813467,4.3449178,
904,51.9807862,4.3474280,
