,latitude,longitude,addr,amenity
512,52.0065238,4.3513669,11,[]
513,52.0083469,4.3548398,63,[]
514,52.0083772,4.3530673,9,[]
515,52.009077,4.3528672,6,[]
516,52.0099318,4.3537694,10,[]
517,52.0060182,4.3518159,30,[]
518,52.0091963,4.3521958,3,[]
519,52.0097262,4.3539888,3,[]
520,52.007104,4.3545221,3,[]
521,52.0112472,4.3528125,2,[]
522,52.0096476,4.351259,2,[]
523,52.0095924,4.3512408,5,[]
524,52.0064951,4.3518487,21,[]
525,52.0094026,4.353615,2,[]
526,52.0062373,4.3544098,4,[]
527,52.0123983,4.3506133,3,[]
528,52.0123507,4.3505078,1,[]
529,52.0094592,4.3514176,4,[]
530,52.00987,4.3518233,38,[]
531,52.0124936,4.350824,3,[]
532,52.0089743,4.3529669,7,[]
533,52.0092875,4.3516252,4,[]
534,52.0125415,4.3509295,2,[]
535,52.0091009,4.3535459,3,[]
536,52.0096927,4.3539205,4,[]
537,52.0125893,4.3510348,4,[]
538,52.0124461,4.3507188,3,[]
539,52.0093739,4.3515214,4,[]
540,52.008888,4.3523094,2,[]
541,52.0064798,4.3513673,9,[]
542,52.009816,4.3541774,6,[]
543,52.0066624,4.3536613,4,[]
544,52.0082634,4.3539366,6,[]
545,52.0054588,4.3522665,17,[]
546,52.0095169,4.3513584,2,[]
547,52.0076118,4.3523938,2,[]
548,52.0094287,4.352692,2,[]
549,52.0053797,4.3520862,2,[]
550,52.0056628,4.3543812,10,[]
551,52.0076807,4.3527672,3,[]
552,52.0074103,4.3543272,12,[]
553,52.0094659,4.3535962,4,[]
554,52.0072877,4.35064,3,[]
555,52.0089718,4.3525561,2,[]
556,52.0091126,4.35135,5,[]
557,52.0069928,4.3552747,7,[]
558,52.0053104,4.3531803,1,['community_centre']
559,52.0100514,4.3539879,6,[]
560,52.0092962,4.3541467,5,[]
561,52.009395,4.3526195,4,['restaurant']
562,52.0089572,4.3523706,3,[]
563,52.008995,4.3515387,2,[]
564,52.0099676,4.3507802,3,[]
565,52.0058866,4.3536145,17,[]
566,52.0084942,4.3543181,7,[]
567,52.0078508,4.3531211,2,[]
568,52.0115781,4.3526681,2,[]
569,52.0089531,4.3543838,10,[]
570,52.0059655,4.354469,1,[]
571,52.0093773,4.3525049,3,[]
572,52.0094966,4.3528395,4,[]
573,52.0094778,4.3527402,26,[]
574,52.0074335,4.352311,7,[]
575,52.0096056,4.3538054,2,[]
576,52.0093392,4.3536662,3,[]
577,52.0092709,4.35442,8,[]
578,52.0130826,4.3512066,7,[]
579,52.0066731,4.3525259,6,[]
580,52.0092027,4.3527844,7,[]
581,52.0080598,4.3547285,2,[]
582,52.0118899,4.3524698,4,[]
583,52.0087448,4.3534246,3,[]
584,52.01375,4.3505171,3,[]
585,52.0095879,4.3530353,12,[]
586,52.0088463,4.3521927,4,[]
587,52.0111514,4.3531761,7,[]
588,52.0092561,4.3523846,6,[]
589,52.0103641,4.3539321,11,['restaurant']
590,52.0117888,4.3525764,1,[]
591,52.0099002,4.3511157,4,[]
592,52.0091738,4.3509736,1,[]
593,52.0095018,4.3506045,1,[]
594,52.0066568,4.3547027,5,[]
595,52.0083039,4.351323,2,[]
596,52.0067461,4.3507343,1,[]
597,52.0078397,4.3513724,1,[]
598,52.0059977,4.3511842,3,[]
599,52.005229,4.3514544,17,[]
600,52.0101043,4.3539775,4,[]
601,52.0078295,4.3549054,2,[]
602,52.0062666,4.3538509,4,[]
603,52.0097296,4.3542197,3,[]
604,52.0083212,4.3513607,2,[]
605,52.0093844,4.3508135,1,[]
606,52.0096118,4.3542467,4,[]
607,52.0091763,4.3517207,4,[]
608,52.0081007,4.3508803,1,[]
609,52.0094139,4.3507095,1,[]
610,52.0084255,4.3514953,1,[]
611,52.0079544,4.351624,1,[]
612,52.008876,4.3514423,2,[]
613,52.0067864,4.3549011,5,[]
614,52.0061206,4.3547372,4,[]
615,52.0077295,4.3510555,3,[]
616,52.0078231,4.3544632,1,[]
617,52.007814,4.351316,1,[]
618,52.0107084,4.3529878,52,[]
619,52.0079382,4.350635,2,[]
620,52.0083582,4.351441,2,[]
621,52.0090661,4.3511025,1,[]
622,52.0078563,4.3548769,2,[]
623,52.0059249,4.3547579,1,[]
624,52.0063531,4.3540444,1,[]
625,52.0080834,4.350843,2,[]
626,52.0103709,4.3507193,4,[]
627,52.0077155,4.3509027,3,[]
628,52.0123861,4.3517777,8,[]
629,52.0124967,4.3518689,4,[]
630,52.0081366,4.3509583,1,[]
631,52.0065943,4.3547891,1,[]
632,52.0079373,4.3515866,1,[]
633,52.0077599,4.3511976,1,[]
634,52.0107659,4.3531163,7,[]
635,52.0095143,4.3506569,1,[]
636,52.0059673,4.3550107,2,[]
637,52.0059383,4.3548379,2,[]
638,52.0070049,4.3533091,7,[]
639,52.0110805,4.3510612,5,[]
640,52.0073067,4.353882,2,[]
641,52.0054799,4.3520277,20,[]
642,52.0082148,4.3511289,2,[]
643,52.0092462,4.3508878,1,[]
644,52.0093348,4.3507817,2,[]
645,52.0065814,4.3548772,6,[]
646,52.0092816,4.3508462,1,[]
647,52.0068228,4.3548623,3,[]
648,52.008894,4.3504908,4,[]
649,52.0063315,4.353996,1,[]
650,52.008268,4.351245,1,[]
651,52.0070137,4.3540813,5,[]
652,52.0081975,4.3510917,2,[]
653,52.0117737,4.3520072,5,[]
654,52.011264,4.3505895,2,[]
655,52.0091388,4.3510164,1,[]
656,52.0133324,4.3505236,1,[]
657,52.0059596,4.3549643,1,[]
658,52.0079892,4.3517007,1,[]
659,52.0059809,4.3550923,1,[]
660,52.0132655,4.3506661,2,[]
661,52.0059461,4.3548842,1,[]
662,52.0067696,4.3506266,3,[]
663,52.010313,4.3505956,1,[]
664,52.0090848,4.3510804,1,[]
665,52.0059236,4.3512662,2,[]
666,52.0080435,4.3518195,1,[]
667,52.0059697,4.3512172,3,[]
668,52.0096107,4.3505417,1,[]
669,52.0080062,4.351738,1,[]
670,52.0089152,4.3511331,2,[]
671,52.0094669,4.3506472,1,[]
672,52.0081537,4.3509959,1,[]
673,52.0106804,4.3523923,15,[]
674,52.0078503,4.3544322,1,[]
675,52.0065137,4.3521883,1,[]
676,52.0091202,4.3510384,1,[]
677,52.0091923,4.3509517,1,[]
678,52.0051802,4.3525773,1,[]
679,52.007743,4.35116,2,[]
680,52.0060984,4.3551255,11,[]
681,52.008251,4.3512072,2,[]
682,52.0093002,4.350824,1,[]
683,52.0094484,4.3506693,1,[]
684,52.0078046,4.3549315,3,[]
685,52.0070646,4.3533935,14,[]
686,52.0060651,4.3511096,20,[]
687,52.0095892,4.3505676,1,[]
688,52.0128907,4.3505619,1,[]
689,52.0113151,4.352019,3,[]
690,52.0098606,4.3510285,1,[]
691,52.0078835,4.3514684,1,[]
692,52.009845,4.3509939,1,[]
693,52.0124986,4.3515186,9,[]
694,52.0092277,4.35091,1,[]
695,52.0080298,4.3507266,1,[]
696,52.0079006,4.3515059,1,[]
697,52.0062884,4.3538996,1,[]
698,52.0057318,4.3541977,9,[]
699,52.0077971,4.3512785,1,[]
700,52.007403,4.3540914,6,[]
701,52.0106385,4.3535709,7,[]
702,52.0121864,4.3506426,12,[]
703,52.0059009,4.3512917,14,[]
704,52.0086174,4.3528098,3,[]
705,52.0112381,4.3505322,3,[]
706,52.0112902,4.3506472,4,[]
707,52.0079118,4.3517515,2,[]
708,52.0111821,4.3529909,2,[]
709,52.0080471,4.3507638,1,[]
710,52.013167,4.3509723,3,[]
711,52.0062901,4.352621,7,[]
712,52.0076129,4.352914,5,[]
713,52.0070108,4.3522256,11,[]
714,52.0072063,4.3513423,4,[]
715,52.0131105,4.3508315,1,[]
716,52.0078773,4.3544013,3,[]
717,52.0112111,4.3504714,4,[]
718,52.0073186,4.3516028,4,[]
719,52.0067496,4.3509317,8,[]
720,52.0080691,4.3519856,5,[]
721,52.0059727,4.3551885,24,[]
722,52.0103808,4.351259,20,[]
723,52.0081572,4.3548178,4,[]
724,52.0074507,4.3521988,6,[]
725,52.008836,4.3513554,2,[]
726,52.0079964,4.3536075,7,[]
727,52.0060428,4.3511345,3,[]
728,52.0088221,4.3505766,2,[]
729,52.0116707,4.3520265,3,[]
730,52.0098886,4.3504303,2,[]
731,52.0052134,4.3526547,4,[]
732,52.011515,4.3528627,4,[]
733,52.0077829,4.3549509,17,[]
734,52.0101758,4.3508056,5,[]
