,addr:housenumber,addr:street,latitude,longitude,id
58927,114A,Rotterdamseweg,52.0047543,4.3638639,5322518434
58928,20A,Sadatweg,51.9842847,4.3404529,5322518435
58929,5B,Martinus Nijhofflaan,51.9964086,4.3531787,5322518436
58930,49E,Phoenixstraat,52.0121081,4.3534853,5322518437
58931,49D,Phoenixstraat,52.0121081,4.3534853,5322518438
58932,49C,Phoenixstraat,52.0118992,4.3536240,5322518439
58933,49B,Phoenixstraat,52.0118992,4.3536240,5322518440
58934,49A,Phoenixstraat,52.0118992,4.3536240,5322518441
58935,159B,Buitenwatersloot,52.0071881,4.3512006,5322518443
58936,8,Landbergstraat,52.0024729,4.3705861,5322518444
58937,17C,Oostsingel,52.0115059,4.3693904,5322518445
58938,17B,Oostsingel,52.0115059,4.3693904,5322518446
58939,17A,Oostsingel,52.0115059,4.3693904,5322518447
58940,90,Kantoorgracht,52.0173648,4.3583107,5322518448
58941,89,Kantoorgracht,52.0174047,4.3584038,5322518449
58942,88,Kantoorgracht,52.0175166,4.3586526,5322518450
58943,87,Kantoorgracht,52.0175971,4.3588183,5322518451
58944,86,Kantoorgracht,52.0176144,4.3588624,5322518452
58945,1R,Paardenmarkt,52.0171379,4.3585365,5322518453
58946,1G,Paardenmarkt,52.0171156,4.3594963,5322518454
58947,1F,Paardenmarkt,52.0167469,4.3599185,5322518455
58948,1E,Paardenmarkt,52.0167814,4.3596441,5322518456
58949,1C,Paardenmarkt,52.0167228,4.3593291,5322518457
58950,1,Paardenmarkt,52.0167463,4.3591234,5322518458
58951,42D,Brasserskade,52.0231434,4.3524726,5322518459
58952,42C,Brasserskade,52.0231434,4.3524726,5322518460
58953,42B,Brasserskade,52.0231434,4.3524726,5322518461
58954,42A,Brasserskade,52.0231434,4.3524726,5322518462
58955,98D,Brasserskade,52.0235854,4.3534986,5322518463
58956,98C,Brasserskade,52.0235854,4.3534986,5322518464
58957,98B,Brasserskade,52.0235854,4.3534986,5322518465
58958,98A,Brasserskade,52.0235854,4.3534986,5322518466
58959,21F,Sint Olofsstraat,52.0110765,4.3513111,5322518467
58960,21E,Sint Olofsstraat,52.0110846,4.3513225,5322518468
58961,21D,Sint Olofsstraat,52.0110749,4.3513211,5322518469
58962,21C,Sint Olofsstraat,52.0110815,4.3513151,5322518470
58963,21B,Sint Olofsstraat,52.0110873,4.3513107,5322518471
58964,21A,Sint Olofsstraat,52.0110815,4.3513044,5322518472
58965,1A,Faradayweg,51.9851928,4.3696593,5322518473
58966,82,Schieweg,51.9846813,4.3700110,5322518474
58967,5,Celebesstraat,52.0234496,4.3547652,5322518475
58968,416C,Rotterdamseweg,51.9824009,4.3787706,5322518476
58969,416H,Rotterdamseweg,51.9823301,4.3787101,5322518477
58970,416G,Rotterdamseweg,51.9823379,4.3786544,5322518478
58971,416F,Rotterdamseweg,51.9823557,4.3786947,5322518479
58972,416E,Rotterdamseweg,51.9823648,4.3788357,5322518480
58973,416D,Rotterdamseweg,51.9823715,4.3788761,5322518481
58974,416M,Rotterdamseweg,51.9821636,4.3788588,5322518482
58975,416L,Rotterdamseweg,51.9821528,4.3788073,5322518483
58976,416K,Rotterdamseweg,51.9821412,4.3787635,5322518484
58977,416J,Rotterdamseweg,51.9821313,4.3787236,5322518485
58978,8A,Antonie Heinsiusstraat,52.0075967,4.3508594,5322518487
58979,23E,Michiel de Ruyterweg,52.0054191,4.3683649,5322518488
58980,23D,Michiel de Ruyterweg,52.0054191,4.3683649,5322518489
58981,23C,Michiel de Ruyterweg,52.0054191,4.3683649,5322518490
58982,23B,Michiel de Ruyterweg,52.0054191,4.3683649,5322518491
58983,23A,Michiel de Ruyterweg,52.0054191,4.3683649,5322518492
58984,59,Koornmarkt,52.0094743,4.3588260,5322518493
58985,61,Koornmarkt,52.0094775,4.3588233,5322518494
58986,2D,Van Mourik Broekmanweg,52.0001644,4.3765355,5322518496
58987,2C,Van Mourik Broekmanweg,52.0004195,4.3766341,5322518497
58988,2B,Van Mourik Broekmanweg,52.0005513,4.3771458,5322518498
58989,4,Van Mourik Broekmanweg,52.0002047,4.3769599,5322518499
58990,104,Keverling Buismanweg,52.0001137,4.3773864,5322518500
58991,102,Keverling Buismanweg,52.0001136,4.3773863,5322518501
58992,100,Keverling Buismanweg,52.0001137,4.3773863,5322518502
58993,68A,Spoorsingel,52.0125250,4.3519028,5322518503
58994,2E,Frederik Hendrikstraat,52.0096109,4.3735270,5322518504
58995,136A,Brasserskade,52.0238552,4.3540802,5322518505
58996,143,Oude IJsbaan,52.0177151,4.3690438,5322518508
58997,141,Oude IJsbaan,52.0176376,4.3691544,5322518509
58998,139,Oude IJsbaan,52.0176092,4.3692635,5322518510
58999,101,Gildestraat,51.9997906,4.3553579,5322518511
59000,99,Gildestraat,51.9997887,4.3553568,5322518512
59001,97,Gildestraat,51.9997868,4.3553557,5322518513
59002,95,Gildestraat,51.9997849,4.3553546,5322518514
59003,93,Gildestraat,51.9997831,4.3553535,5322518515
59004,91,Gildestraat,51.9997816,4.3553503,5322518516
59005,89,Gildestraat,51.9998000,4.3553634,5322518517
59006,87,Gildestraat,51.9997981,4.3553623,5322518518
59007,85,Gildestraat,51.9997962,4.3553612,5322518519
59008,83,Gildestraat,51.9997943,4.3553601,5322518520
59009,81,Gildestraat,51.9997924,4.3553590,5322519121
59010,79,Gildestraat,51.9998018,4.3553645,5322519122
59011,2,J.C. van Markenweg,52.0173411,4.3471896,5322519123
59012,9,Scheepmakerij,52.0051024,4.3618081,5322519124
59013,21A,Nieuwe Langendijk,52.0126441,4.3635897,5322519125
59014,6,Kantoorgracht,52.0160697,4.3558998,5322519127
59015,1,Jupiterstraat,51.9987874,4.3596800,5322519128
59016,17,Heilige Geestkerkhof,52.0122843,4.3564801,5322519129
59017,184,Oostsingel,52.0197176,4.3578695,5322519130
59018,1A,Stationsplein,52.0070784,4.3560961,5322519131
59019,49,Coenderstraat,52.0075911,4.3559651,5322519132
59020,50,Coenderstraat,52.0070784,4.3560961,5322519133
59021,2,Deltaweg,52.0002247,4.3596937,5322519134
59022,4,Kampveldweg,52.0153751,4.3499052,5322519135
59023,502,Michiel de Ruyterweg,52.0056640,4.3704335,5322519137
59024,500,Michiel de Ruyterweg,52.0056744,4.3704399,5322519138
59025,310,Rotterdamseweg,51.9947715,4.3700814,5322519139
